experiment,seed,file,init_mode,network,target_keff,mechanism,kappa_eff,success,alpha_on
legacy_canonical,17,simulation_meanfield_alpha_on_cap0.95_kb0.010000_noise0.01_seed17_icnear_sync_legacy.csv,near_sync,,,,,,
legacy_canonical,3,simulation_smallworld_alpha_off_cap0.95_kb0.020000_noise0.02_seed03_icnear_sync_legacy.csv,near_sync,,,,,,
legacy_canonical,12,simulation_scalefree_alpha_on_cap0.95_kb0.080000_noise0.01_seed12_icnear_sync_legacy.csv,near_sync,,,,,,
legacy_canonical,5,simulation_symmetricmodules_alpha_on_cap0.95_cinter0.10_pin0.05_kb0.015000_noise0.02_seed05_icnear_sync_legacy.csv,near_sync,,,,,,
matched_kappa_eff,3,,random,meanfield,0.05,,,,
matched_kappa_eff,5,,random,meanfield,0.05,,,,
matched_kappa_eff,12,,random,meanfield,0.05,,,,
matched_kappa_eff,17,,random,meanfield,0.05,,,,
matched_kappa_eff,3,,near_sync,meanfield,0.05,,,,
matched_kappa_eff,5,,near_sync,meanfield,0.05,,,,
matched_kappa_eff,12,,near_sync,meanfield,0.05,,,,
matched_kappa_eff,17,,near_sync,meanfield,0.05,,,,
matched_kappa_eff,3,,random,meanfield,0.1,,,,
matched_kappa_eff,5,,random,meanfield,0.1,,,,
matched_kappa_eff,12,,random,meanfield,0.1,,,,
matched_kappa_eff,17,,random,meanfield,0.1,,,,
matched_kappa_eff,3,,near_sync,meanfield,0.1,,,,
matched_kappa_eff,5,,near_sync,meanfield,0.1,,,,
matched_kappa_eff,12,,near_sync,meanfield,0.1,,,,
matched_kappa_eff,17,,near_sync,meanfield,0.1,,,,
matched_kappa_eff,3,,random,meanfield,0.2,,,,
matched_kappa_eff,5,,random,meanfield,0.2,,,,
matched_kappa_eff,12,,random,meanfield,0.2,,,,
matched_kappa_eff,17,,random,meanfield,0.2,,,,
matched_kappa_eff,3,,near_sync,meanfield,0.2,,,,
matched_kappa_eff,5,,near_sync,meanfield,0.2,,,,
matched_kappa_eff,12,,near_sync,meanfield,0.2,,,,
matched_kappa_eff,17,,near_sync,meanfield,0.2,,,,
matched_kappa_eff,3,,random,meanfield,0.5,,,,
matched_kappa_eff,5,,random,meanfield,0.5,,,,
matched_kappa_eff,12,,random,meanfield,0.5,,,,
matched_kappa_eff,17,,random,meanfield,0.5,,,,
matched_kappa_eff,3,,near_sync,meanfield,0.5,,,,
matched_kappa_eff,5,,near_sync,meanfield,0.5,,,,
matched_kappa_eff,12,,near_sync,meanfield,0.5,,,,
matched_kappa_eff,17,,near_sync,meanfield,0.5,,,,
matched_kappa_eff,3,,random,lattice,0.05,,,,
matched_kappa_eff,5,,random,lattice,0.05,,,,
matched_kappa_eff,12,,random,lattice,0.05,,,,
matched_kappa_eff,17,,random,lattice,0.05,,,,
matched_kappa_eff,3,,near_sync,lattice,0.05,,,,
matched_kappa_eff,5,,near_sync,lattice,0.05,,,,
matched_kappa_eff,12,,near_sync,lattice,0.05,,,,
matched_kappa_eff,17,,near_sync,lattice,0.05,,,,
matched_kappa_eff,3,,random,lattice,0.1,,,,
matched_kappa_eff,5,,random,lattice,0.1,,,,
matched_kappa_eff,12,,random,lattice,0.1,,,,
matched_kappa_eff,17,,random,lattice,0.1,,,,
matched_kappa_eff,3,,near_sync,lattice,0.1,,,,
matched_kappa_eff,5,,near_sync,lattice,0.1,,,,
matched_kappa_eff,12,,near_sync,lattice,0.1,,,,
matched_kappa_eff,17,,near_sync,lattice,0.1,,,,
matched_kappa_eff,3,,random,lattice,0.2,,,,
matched_kappa_eff,5,,random,lattice,0.2,,,,
matched_kappa_eff,12,,random,lattice,0.2,,,,
matched_kappa_eff,17,,random,lattice,0.2,,,,
matched_kappa_eff,3,,near_sync,lattice,0.2,,,,
matched_kappa_eff,5,,near_sync,lattice,0.2,,,,
matched_kappa_eff,12,,near_sync,lattice,0.2,,,,
matched_kappa_eff,17,,near_sync,lattice,0.2,,,,
matched_kappa_eff,3,,random,lattice,0.5,,,,
matched_kappa_eff,5,,random,lattice,0.5,,,,
matched_kappa_eff,12,,random,lattice,0.5,,,,
matched_kappa_eff,17,,random,lattice,0.5,,,,
matched_kappa_eff,3,,near_sync,lattice,0.5,,,,
matched_kappa_eff,5,,near_sync,lattice,0.5,,,,
matched_kappa_eff,12,,near_sync,lattice,0.5,,,,
matched_kappa_eff,17,,near_sync,lattice,0.5,,,,
matched_kappa_eff,3,,random,smallworld,0.05,,,,
matched_kappa_eff,5,,random,smallworld,0.05,,,,
matched_kappa_eff,12,,random,smallworld,0.05,,,,
matched_kappa_eff,17,,random,smallworld,0.05,,,,
matched_kappa_eff,3,,near_sync,smallworld,0.05,,,,
matched_kappa_eff,5,,near_sync,smallworld,0.05,,,,
matched_kappa_eff,12,,near_sync,smallworld,0.05,,,,
matched_kappa_eff,17,,near_sync,smallworld,0.05,,,,
matched_kappa_eff,3,,random,smallworld,0.1,,,,
matched_kappa_eff,5,,random,smallworld,0.1,,,,
matched_kappa_eff,12,,random,smallworld,0.1,,,,
matched_kappa_eff,17,,random,smallworld,0.1,,,,
matched_kappa_eff,3,,near_sync,smallworld,0.1,,,,
matched_kappa_eff,5,,near_sync,smallworld,0.1,,,,
matched_kappa_eff,12,,near_sync,smallworld,0.1,,,,
matched_kappa_eff,17,,near_sync,smallworld,0.1,,,,
matched_kappa_eff,3,,random,smallworld,0.2,,,,
matched_kappa_eff,5,,random,smallworld,0.2,,,,
matched_kappa_eff,12,,random,smallworld,0.2,,,,
matched_kappa_eff,17,,random,smallworld,0.2,,,,
matched_kappa_eff,3,,near_sync,smallworld,0.2,,,,
matched_kappa_eff,5,,near_sync,smallworld,0.2,,,,
matched_kappa_eff,12,,near_sync,smallworld,0.2,,,,
matched_kappa_eff,17,,near_sync,smallworld,0.2,,,,
matched_kappa_eff,3,,random,smallworld,0.5,,,,
matched_kappa_eff,5,,random,smallworld,0.5,,,,
matched_kappa_eff,12,,random,smallworld,0.5,,,,
matched_kappa_eff,17,,random,smallworld,0.5,,,,
matched_kappa_eff,3,,near_sync,smallworld,0.5,,,,
matched_kappa_eff,5,,near_sync,smallworld,0.5,,,,
matched_kappa_eff,12,,near_sync,smallworld,0.5,,,,
matched_kappa_eff,17,,near_sync,smallworld,0.5,,,,
matched_kappa_eff,3,,random,scalefree,0.05,,,,
matched_kappa_eff,5,,random,scalefree,0.05,,,,
matched_kappa_eff,12,,random,scalefree,0.05,,,,
matched_kappa_eff,17,,random,scalefree,0.05,,,,
matched_kappa_eff,3,,near_sync,scalefree,0.05,,,,
matched_kappa_eff,5,,near_sync,scalefree,0.05,,,,
matched_kappa_eff,12,,near_sync,scalefree,0.05,,,,
matched_kappa_eff,17,,near_sync,scalefree,0.05,,,,
matched_kappa_eff,3,,random,scalefree,0.1,,,,
matched_kappa_eff,5,,random,scalefree,0.1,,,,
matched_kappa_eff,12,,random,scalefree,0.1,,,,
matched_kappa_eff,17,,random,scalefree,0.1,,,,
matched_kappa_eff,3,,near_sync,scalefree,0.1,,,,
matched_kappa_eff,5,,near_sync,scalefree,0.1,,,,
matched_kappa_eff,12,,near_sync,scalefree,0.1,,,,
matched_kappa_eff,17,,near_sync,scalefree,0.1,,,,
matched_kappa_eff,3,,random,scalefree,0.2,,,,
matched_kappa_eff,5,,random,scalefree,0.2,,,,
matched_kappa_eff,12,,random,scalefree,0.2,,,,
matched_kappa_eff,17,,random,scalefree,0.2,,,,
matched_kappa_eff,3,,near_sync,scalefree,0.2,,,,
matched_kappa_eff,5,,near_sync,scalefree,0.2,,,,
matched_kappa_eff,12,,near_sync,scalefree,0.2,,,,
matched_kappa_eff,17,,near_sync,scalefree,0.2,,,,
matched_kappa_eff,3,,random,scalefree,0.5,,,,
matched_kappa_eff,5,,random,scalefree,0.5,,,,
matched_kappa_eff,12,,random,scalefree,0.5,,,,
matched_kappa_eff,17,,random,scalefree,0.5,,,,
matched_kappa_eff,3,,near_sync,scalefree,0.5,,,,
matched_kappa_eff,5,,near_sync,scalefree,0.5,,,,
matched_kappa_eff,12,,near_sync,scalefree,0.5,,,,
matched_kappa_eff,17,,near_sync,scalefree,0.5,,,,
candidate_mechanism,3,,,meanfield,,none,0.05,,
candidate_mechanism,3,,,meanfield,,noise_suppression,0.05,,
candidate_mechanism,3,,,meanfield,,freq_narrowing,0.05,,
candidate_mechanism,3,,,meanfield,,residual_meanfield,0.05,,
candidate_mechanism,5,,,meanfield,,none,0.05,,
candidate_mechanism,5,,,meanfield,,noise_suppression,0.05,,
candidate_mechanism,5,,,meanfield,,freq_narrowing,0.05,,
candidate_mechanism,5,,,meanfield,,residual_meanfield,0.05,,
candidate_mechanism,12,,,meanfield,,none,0.05,,
candidate_mechanism,12,,,meanfield,,noise_suppression,0.05,,
candidate_mechanism,12,,,meanfield,,freq_narrowing,0.05,,
candidate_mechanism,12,,,meanfield,,residual_meanfield,0.05,,
candidate_mechanism,17,,,meanfield,,none,0.05,,
candidate_mechanism,17,,,meanfield,,noise_suppression,0.05,,
candidate_mechanism,17,,,meanfield,,freq_narrowing,0.05,,
candidate_mechanism,17,,,meanfield,,residual_meanfield,0.05,,
candidate_mechanism,3,,,meanfield,,none,0.1,,
candidate_mechanism,3,,,meanfield,,noise_suppression,0.1,,
candidate_mechanism,3,,,meanfield,,freq_narrowing,0.1,,
candidate_mechanism,3,,,meanfield,,residual_meanfield,0.1,,
candidate_mechanism,5,,,meanfield,,none,0.1,,
candidate_mechanism,5,,,meanfield,,noise_suppression,0.1,,
candidate_mechanism,5,,,meanfield,,freq_narrowing,0.1,,
candidate_mechanism,5,,,meanfield,,residual_meanfield,0.1,,
candidate_mechanism,12,,,meanfield,,none,0.1,,
candidate_mechanism,12,,,meanfield,,noise_suppression,0.1,,
candidate_mechanism,12,,,meanfield,,freq_narrowing,0.1,,
candidate_mechanism,12,,,meanfield,,residual_meanfield,0.1,,
candidate_mechanism,17,,,meanfield,,none,0.1,,
candidate_mechanism,17,,,meanfield,,noise_suppression,0.1,,
candidate_mechanism,17,,,meanfield,,freq_narrowing,0.1,,
candidate_mechanism,17,,,meanfield,,residual_meanfield,0.1,,
candidate_mechanism,3,,,meanfield,,none,0.2,,
candidate_mechanism,3,,,meanfield,,noise_suppression,0.2,,
candidate_mechanism,3,,,meanfield,,freq_narrowing,0.2,,
candidate_mechanism,3,,,meanfield,,residual_meanfield,0.2,,
candidate_mechanism,5,,,meanfield,,none,0.2,,
candidate_mechanism,5,,,meanfield,,noise_suppression,0.2,,
candidate_mechanism,5,,,meanfield,,freq_narrowing,0.2,,
candidate_mechanism,5,,,meanfield,,residual_meanfield,0.2,,
candidate_mechanism,12,,,meanfield,,none,0.2,,
candidate_mechanism,12,,,meanfield,,noise_suppression,0.2,,
candidate_mechanism,12,,,meanfield,,freq_narrowing,0.2,,
candidate_mechanism,12,,,meanfield,,residual_meanfield,0.2,,
candidate_mechanism,17,,,meanfield,,none,0.2,,
candidate_mechanism,17,,,meanfield,,noise_suppression,0.2,,
candidate_mechanism,17,,,meanfield,,freq_narrowing,0.2,,
candidate_mechanism,17,,,meanfield,,residual_meanfield,0.2,,
candidate_mechanism,3,,,meanfield,,none,0.5,,
candidate_mechanism,3,,,meanfield,,noise_suppression,0.5,,
candidate_mechanism,3,,,meanfield,,freq_narrowing,0.5,,
candidate_mechanism,3,,,meanfield,,residual_meanfield,0.5,,
candidate_mechanism,5,,,meanfield,,none,0.5,,
candidate_mechanism,5,,,meanfield,,noise_suppression,0.5,,
candidate_mechanism,5,,,meanfield,,freq_narrowing,0.5,,
candidate_mechanism,5,,,meanfield,,residual_meanfield,0.5,,
candidate_mechanism,12,,,meanfield,,none,0.5,,
candidate_mechanism,12,,,meanfield,,noise_suppression,0.5,,
candidate_mechanism,12,,,meanfield,,freq_narrowing,0.5,,
candidate_mechanism,12,,,meanfield,,residual_meanfield,0.5,,
candidate_mechanism,17,,,meanfield,,none,0.5,,
candidate_mechanism,17,,,meanfield,,noise_suppression,0.5,,
candidate_mechanism,17,,,meanfield,,freq_narrowing,0.5,,
candidate_mechanism,17,,,meanfield,,residual_meanfield,0.5,,
candidate_mechanism,3,,,lattice,,none,0.05,,
candidate_mechanism,3,,,lattice,,noise_suppression,0.05,,
candidate_mechanism,3,,,lattice,,freq_narrowing,0.05,,
candidate_mechanism,3,,,lattice,,residual_meanfield,0.05,,
candidate_mechanism,5,,,lattice,,none,0.05,,
candidate_mechanism,5,,,lattice,,noise_suppression,0.05,,
candidate_mechanism,5,,,lattice,,freq_narrowing,0.05,,
candidate_mechanism,5,,,lattice,,residual_meanfield,0.05,,
candidate_mechanism,12,,,lattice,,none,0.05,,
candidate_mechanism,12,,,lattice,,noise_suppression,0.05,,
candidate_mechanism,12,,,lattice,,freq_narrowing,0.05,,
candidate_mechanism,12,,,lattice,,residual_meanfield,0.05,,
candidate_mechanism,17,,,lattice,,none,0.05,,
candidate_mechanism,17,,,lattice,,noise_suppression,0.05,,
candidate_mechanism,17,,,lattice,,freq_narrowing,0.05,,
candidate_mechanism,17,,,lattice,,residual_meanfield,0.05,,
candidate_mechanism,3,,,lattice,,none,0.1,,
candidate_mechanism,3,,,lattice,,noise_suppression,0.1,,
candidate_mechanism,3,,,lattice,,freq_narrowing,0.1,,
candidate_mechanism,3,,,lattice,,residual_meanfield,0.1,,
candidate_mechanism,5,,,lattice,,none,0.1,,
candidate_mechanism,5,,,lattice,,noise_suppression,0.1,,
candidate_mechanism,5,,,lattice,,freq_narrowing,0.1,,
candidate_mechanism,5,,,lattice,,residual_meanfield,0.1,,
candidate_mechanism,12,,,lattice,,none,0.1,,
candidate_mechanism,12,,,lattice,,noise_suppression,0.1,,
candidate_mechanism,12,,,lattice,,freq_narrowing,0.1,,
candidate_mechanism,12,,,lattice,,residual_meanfield,0.1,,
candidate_mechanism,17,,,lattice,,none,0.1,,
candidate_mechanism,17,,,lattice,,noise_suppression,0.1,,
candidate_mechanism,17,,,lattice,,freq_narrowing,0.1,,
candidate_mechanism,17,,,lattice,,residual_meanfield,0.1,,
candidate_mechanism,3,,,lattice,,none,0.2,,
candidate_mechanism,3,,,lattice,,noise_suppression,0.2,,
candidate_mechanism,3,,,lattice,,freq_narrowing,0.2,,
candidate_mechanism,3,,,lattice,,residual_meanfield,0.2,,
candidate_mechanism,5,,,lattice,,none,0.2,,
candidate_mechanism,5,,,lattice,,noise_suppression,0.2,,
candidate_mechanism,5,,,lattice,,freq_narrowing,0.2,,
candidate_mechanism,5,,,lattice,,residual_meanfield,0.2,,
candidate_mechanism,12,,,lattice,,none,0.2,,
candidate_mechanism,12,,,lattice,,noise_suppression,0.2,,
candidate_mechanism,12,,,lattice,,freq_narrowing,0.2,,
candidate_mechanism,12,,,lattice,,residual_meanfield,0.2,,
candidate_mechanism,17,,,lattice,,none,0.2,,
candidate_mechanism,17,,,lattice,,noise_suppression,0.2,,
candidate_mechanism,17,,,lattice,,freq_narrowing,0.2,,
candidate_mechanism,17,,,lattice,,residual_meanfield,0.2,,
candidate_mechanism,3,,,lattice,,none,0.5,,
candidate_mechanism,3,,,lattice,,noise_suppression,0.5,,
candidate_mechanism,3,,,lattice,,freq_narrowing,0.5,,
candidate_mechanism,3,,,lattice,,residual_meanfield,0.5,,
candidate_mechanism,5,,,lattice,,none,0.5,,
candidate_mechanism,5,,,lattice,,noise_suppression,0.5,,
candidate_mechanism,5,,,lattice,,freq_narrowing,0.5,,
candidate_mechanism,5,,,lattice,,residual_meanfield,0.5,,
candidate_mechanism,12,,,lattice,,none,0.5,,
candidate_mechanism,12,,,lattice,,noise_suppression,0.5,,
candidate_mechanism,12,,,lattice,,freq_narrowing,0.5,,
candidate_mechanism,12,,,lattice,,residual_meanfield,0.5,,
candidate_mechanism,17,,,lattice,,none,0.5,,
candidate_mechanism,17,,,lattice,,noise_suppression,0.5,,
candidate_mechanism,17,,,lattice,,freq_narrowing,0.5,,
candidate_mechanism,17,,,lattice,,residual_meanfield,0.5,,
candidate_mechanism,3,,,smallworld,,none,0.05,,
candidate_mechanism,3,,,smallworld,,noise_suppression,0.05,,
candidate_mechanism,3,,,smallworld,,freq_narrowing,0.05,,
candidate_mechanism,3,,,smallworld,,residual_meanfield,0.05,,
candidate_mechanism,5,,,smallworld,,none,0.05,,
candidate_mechanism,5,,,smallworld,,noise_suppression,0.05,,
candidate_mechanism,5,,,smallworld,,freq_narrowing,0.05,,
candidate_mechanism,5,,,smallworld,,residual_meanfield,0.05,,
candidate_mechanism,12,,,smallworld,,none,0.05,,
candidate_mechanism,12,,,smallworld,,noise_suppression,0.05,,
candidate_mechanism,12,,,smallworld,,freq_narrowing,0.05,,
candidate_mechanism,12,,,smallworld,,residual_meanfield,0.05,,
candidate_mechanism,17,,,smallworld,,none,0.05,,
candidate_mechanism,17,,,smallworld,,noise_suppression,0.05,,
candidate_mechanism,17,,,smallworld,,freq_narrowing,0.05,,
candidate_mechanism,17,,,smallworld,,residual_meanfield,0.05,,
candidate_mechanism,3,,,smallworld,,none,0.1,,
candidate_mechanism,3,,,smallworld,,noise_suppression,0.1,,
candidate_mechanism,3,,,smallworld,,freq_narrowing,0.1,,
candidate_mechanism,3,,,smallworld,,residual_meanfield,0.1,,
candidate_mechanism,5,,,smallworld,,none,0.1,,
candidate_mechanism,5,,,smallworld,,noise_suppression,0.1,,
candidate_mechanism,5,,,smallworld,,freq_narrowing,0.1,,
candidate_mechanism,5,,,smallworld,,residual_meanfield,0.1,,
candidate_mechanism,12,,,smallworld,,none,0.1,,
candidate_mechanism,12,,,smallworld,,noise_suppression,0.1,,
candidate_mechanism,12,,,smallworld,,freq_narrowing,0.1,,
candidate_mechanism,12,,,smallworld,,residual_meanfield,0.1,,
candidate_mechanism,17,,,smallworld,,none,0.1,,
candidate_mechanism,17,,,smallworld,,noise_suppression,0.1,,
candidate_mechanism,17,,,smallworld,,freq_narrowing,0.1,,
candidate_mechanism,17,,,smallworld,,residual_meanfield,0.1,,
candidate_mechanism,3,,,smallworld,,none,0.2,,
candidate_mechanism,3,,,smallworld,,noise_suppression,0.2,,
candidate_mechanism,3,,,smallworld,,freq_narrowing,0.2,,
candidate_mechanism,3,,,smallworld,,residual_meanfield,0.2,,
candidate_mechanism,5,,,smallworld,,none,0.2,,
candidate_mechanism,5,,,smallworld,,noise_suppression,0.2,,
candidate_mechanism,5,,,smallworld,,freq_narrowing,0.2,,
candidate_mechanism,5,,,smallworld,,residual_meanfield,0.2,,
candidate_mechanism,12,,,smallworld,,none,0.2,,
candidate_mechanism,12,,,smallworld,,noise_suppression,0.2,,
candidate_mechanism,12,,,smallworld,,freq_narrowing,0.2,,
candidate_mechanism,12,,,smallworld,,residual_meanfield,0.2,,
candidate_mechanism,17,,,smallworld,,none,0.2,,
