experiment,network_type,alpha_on,kappa_bare,kappa_eff,init_mode,seed,initial_CI,final_CI,mean_CI,min_CI,pct_time_ge_0.75,success,regime
formation_kappa_eff_scan,meanfield,False,0.01,0.01,random,3,0.071065,0.061357,0.066137,0.061357,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.01,0.01,random,5,0.033844,0.032083,0.031741,0.031,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.01,0.01,random,12,0.133231,0.143064,0.138201,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.01,0.01,random,17,0.163877,0.163828,0.163856,0.163725,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.02,0.02,random,3,0.071065,0.063079,0.067024,0.063079,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.02,0.02,random,5,0.033844,0.032949,0.032177,0.031478,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.02,0.02,random,12,0.133231,0.147536,0.140385,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.02,0.02,random,17,0.163877,0.168676,0.166269,0.163877,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.05,0.05,random,3,0.071065,0.068524,0.069779,0.068524,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.05,0.05,random,5,0.033844,0.035702,0.033534,0.032811,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.05,0.05,random,12,0.133231,0.161779,0.147207,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.05,0.05,random,17,0.163877,0.183999,0.173769,0.163877,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.08,0.08,random,3,0.071065,0.074414,0.072682,0.071065,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.08,0.08,random,5,0.033844,0.038704,0.034971,0.033527,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.08,0.08,random,12,0.133231,0.177331,0.15445,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.08,0.08,random,17,0.163877,0.200535,0.181669,0.163877,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.1,0.1,random,3,0.071065,0.078604,0.074704,0.071065,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.1,0.1,random,5,0.033844,0.040854,0.035975,0.03369,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.1,0.1,random,12,0.133231,0.18847,0.159525,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.1,0.1,random,17,0.163877,0.212258,0.187165,0.163877,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.15,0.15,random,3,0.071065,0.090081,0.080081,0.071065,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.15,0.15,random,5,0.033844,0.046798,0.03866,0.033844,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.15,0.15,random,12,0.133231,0.2192,0.173117,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.15,0.15,random,17,0.163877,0.244106,0.201731,0.163877,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.2,0.2,random,3,0.071065,0.103134,0.085953,0.071065,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.2,0.2,random,5,0.033844,0.053645,0.041613,0.033844,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.2,0.2,random,12,0.133231,0.254301,0.188077,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.2,0.2,random,17,0.163877,0.279686,0.217515,0.163877,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.3,0.3,random,3,0.071065,0.134772,0.099377,0.071065,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.3,0.3,random,5,0.033844,0.070572,0.048443,0.033844,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.3,0.3,random,12,0.133231,0.33815,0.222359,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.3,0.3,random,17,0.163877,0.362015,0.25282,0.163877,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.5,0.5,random,3,0.071065,0.22671,0.134491,0.071065,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.5,0.5,random,5,0.033844,0.122044,0.066799,0.033844,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.5,0.5,random,12,0.133231,0.54531,0.307298,0.133231,0.0,False,partial
formation_kappa_eff_scan,meanfield,False,0.5,0.5,random,17,0.163877,0.563992,0.337532,0.163877,0.0,False,partial
formation_kappa_eff_scan,meanfield,False,0.8,0.8,random,3,0.071065,0.463505,0.215013,0.071065,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.8,0.8,random,5,0.033844,0.271814,0.111892,0.033844,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.8,0.8,random,12,0.133231,0.810157,0.447938,0.133231,10.1,False,partial
formation_kappa_eff_scan,meanfield,False,0.8,0.8,random,17,0.163877,0.869348,0.485988,0.163877,17.0,False,partial
formation_kappa_eff_scan,lattice,False,0.01,0.01,random,3,0.071065,0.059006,0.064918,0.059006,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.01,0.01,random,5,0.033844,0.031082,0.031363,0.030404,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.01,0.01,random,12,0.133231,0.144756,0.139084,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.01,0.01,random,17,0.163877,0.164703,0.164169,0.163747,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.02,0.02,random,3,0.071065,0.05835,0.06457,0.05835,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.02,0.02,random,5,0.033844,0.030972,0.031433,0.03044,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.02,0.02,random,12,0.133231,0.150574,0.142038,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.02,0.02,random,17,0.163877,0.170276,0.166846,0.163877,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.05,0.05,random,3,0.071065,0.056701,0.063578,0.056701,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.05,0.05,random,5,0.033844,0.030847,0.03174,0.030661,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.05,0.05,random,12,0.133231,0.166651,0.150451,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.05,0.05,random,17,0.163877,0.186678,0.174793,0.163877,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.08,0.08,random,3,0.071065,0.05573,0.062744,0.05573,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.08,0.08,random,5,0.033844,0.030737,0.032102,0.030723,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.08,0.08,random,12,0.133231,0.180658,0.158179,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.08,0.08,random,17,0.163877,0.202282,0.182533,0.163877,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.1,0.1,random,3,0.071065,0.055407,0.062291,0.055407,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.1,0.1,random,5,0.033844,0.030487,0.032312,0.030478,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.1,0.1,random,12,0.133231,0.188957,0.162964,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.1,0.1,random,17,0.163877,0.21207,0.187533,0.163877,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.15,0.15,random,3,0.071065,0.054827,0.061404,0.054827,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.15,0.15,random,5,0.033844,0.028974,0.032533,0.028974,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.15,0.15,random,12,0.133231,0.206873,0.173811,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.15,0.15,random,17,0.163877,0.233933,0.199323,0.163877,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.2,0.2,random,3,0.071065,0.053148,0.060536,0.053148,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.2,0.2,random,5,0.033844,0.027567,0.032295,0.027317,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.2,0.2,random,12,0.133231,0.221892,0.183379,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.2,0.2,random,17,0.163877,0.252218,0.209981,0.163877,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.3,0.3,random,3,0.071065,0.044891,0.057777,0.044891,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.3,0.3,random,5,0.033844,0.034796,0.03217,0.025881,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.3,0.3,random,12,0.133231,0.245106,0.199699,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.3,0.3,random,17,0.163877,0.282749,0.228404,0.163877,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.5,0.5,random,3,0.071065,0.026655,0.049281,0.026655,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.5,0.5,random,5,0.033844,0.055217,0.036552,0.026102,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.5,0.5,random,12,0.133231,0.269367,0.223386,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.5,0.5,random,17,0.163877,0.333374,0.258775,0.163877,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.8,0.8,random,3,0.071065,0.015234,0.038068,0.014734,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.8,0.8,random,5,0.033844,0.084777,0.04608,0.027528,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.8,0.8,random,12,0.133231,0.298822,0.246728,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.8,0.8,random,17,0.163877,0.381789,0.293028,0.163877,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.01,0.01,random,3,0.071065,0.061053,0.065985,0.061053,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.01,0.01,random,5,0.033844,0.032489,0.032069,0.031418,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.01,0.01,random,12,0.133231,0.141934,0.137654,0.133231,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.01,0.01,random,17,0.163877,0.163038,0.16343,0.163033,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.02,0.02,random,3,0.071065,0.062432,0.066707,0.062432,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.02,0.02,random,5,0.033844,0.033776,0.032835,0.032298,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.02,0.02,random,12,0.133231,0.145221,0.139275,0.133231,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.02,0.02,random,17,0.163877,0.167016,0.165393,0.163877,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.05,0.05,random,3,0.071065,0.066587,0.068882,0.066587,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.05,0.05,random,5,0.033844,0.037825,0.035192,0.033718,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.05,0.05,random,12,0.133231,0.155523,0.144292,0.133231,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.05,0.05,random,17,0.163877,0.179193,0.17137,0.163877,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.08,0.08,random,3,0.071065,0.070722,0.071063,0.070722,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.08,0.08,random,5,0.033844,0.042032,0.037601,0.033844,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.08,0.08,random,12,0.133231,0.16639,0.149525,0.133231,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.08,0.08,random,17,0.163877,0.191676,0.177466,0.163877,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.1,0.1,random,3,0.071065,0.07345,0.072515,0.071065,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.1,0.1,random,5,0.033844,0.044828,0.039212,0.033844,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.1,0.1,random,12,0.133231,0.173859,0.153117,0.133231,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.1,0.1,random,17,0.163877,0.200147,0.181589,0.163877,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.15,0.15,random,3,0.071065,0.080194,0.076139,0.071065,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.15,0.15,random,5,0.033844,0.051282,0.043133,0.033844,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.15,0.15,random,12,0.133231,0.192805,0.162345,0.133231,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.15,0.15,random,17,0.163877,0.221769,0.192086,0.163877,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.2,0.2,random,3,0.071065,0.087118,0.079795,0.071065,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.2,0.2,random,5,0.033844,0.056188,0.046671,0.033844,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.2,0.2,random,12,0.133231,0.211266,0.171719,0.133231,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.2,0.2,random,17,0.163877,0.243855,0.202816,0.163877,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.3,0.3,random,3,0.071065,0.104716,0.087763,0.071065,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.3,0.3,random,5,0.033844,0.060147,0.051836,0.033844,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.3,0.3,random,12,0.133231,0.244022,0.189996,0.133231,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.3,0.3,random,17,0.163877,0.287826,0.224696,0.163877,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.5,0.5,random,3,0.071065,0.17746,0.112235,0.071065,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.5,0.5,random,5,0.033844,0.050329,0.054453,0.033844,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.5,0.5,random,12,0.133231,0.300477,0.223184,0.133231,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.5,0.5,random,17,0.163877,0.360782,0.266801,0.163877,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.8,0.8,random,3,0.071065,0.288628,0.166022,0.071065,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.8,0.8,random,5,0.033844,0.050213,0.049784,0.033844,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.8,0.8,random,12,0.133231,0.401324,0.271951,0.133231,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.8,0.8,random,17,0.163877,0.459721,0.321469,0.163877,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.01,0.01,random,3,0.071065,0.065751,0.068289,0.065751,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.01,0.01,random,5,0.033844,0.030866,0.031348,0.030357,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.01,0.01,random,12,0.133231,0.145115,0.139051,0.133231,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.01,0.01,random,17,0.163877,0.162198,0.163041,0.162198,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.02,0.02,random,3,0.071065,0.071942,0.071357,0.07099,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.02,0.02,random,5,0.033844,0.030635,0.031438,0.030406,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.02,0.02,random,12,0.133231,0.151732,0.14212,0.133231,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.02,0.02,random,17,0.163877,0.165292,0.164602,0.163869,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.05,0.05,random,3,0.071065,0.090878,0.080727,0.071065,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.05,0.05,random,5,0.033844,0.030966,0.032071,0.030948,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.05,0.05,random,12,0.133231,0.172684,0.151734,0.133231,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.05,0.05,random,17,0.163877,0.174595,0.169317,0.163877,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.08,0.08,random,3,0.071065,0.109873,0.090203,0.071065,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.08,0.08,random,5,0.033844,0.032849,0.03324,0.032734,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.08,0.08,random,12,0.133231,0.194681,0.161813,0.133231,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.08,0.08,random,17,0.163877,0.183883,0.174067,0.163877,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.1,0.1,random,3,0.071065,0.122413,0.096519,0.071065,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.1,0.1,random,5,0.033844,0.034802,0.034272,0.033792,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.1,0.1,random,12,0.133231,0.209521,0.168692,0.133231,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.1,0.1,random,17,0.163877,0.189977,0.177236,0.163877,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.15,0.15,random,3,0.071065,0.153239,0.112194,0.071065,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.15,0.15,random,5,0.033844,0.041094,0.03745,0.033844,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.15,0.15,random,12,0.133231,0.245698,0.186043,0.133231,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.15,0.15,random,17,0.163877,0.204119,0.185013,0.163877,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.2,0.2,random,3,0.071065,0.183435,0.12766,0.071065,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.2,0.2,random,5,0.033844,0.04839,0.041075,0.033844,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.2,0.2,random,12,0.133231,0.279021,0.203075,0.133231,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.2,0.2,random,17,0.163877,0.215426,0.192241,0.163877,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.3,0.3,random,3,0.071065,0.240885,0.157838,0.071065,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.3,0.3,random,5,0.033844,0.065657,0.04889,0.033844,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.3,0.3,random,12,0.133231,0.338285,0.235167,0.133231,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.3,0.3,random,17,0.163877,0.229638,0.20408,0.163877,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.5,0.5,random,3,0.071065,0.345041,0.214288,0.071065,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.5,0.5,random,5,0.033844,0.112128,0.066651,0.033844,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.5,0.5,random,12,0.133231,0.468497,0.297661,0.133231,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.5,0.5,random,17,0.163877,0.260333,0.221883,0.163877,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.8,0.8,random,3,0.071065,0.511709,0.298057,0.071065,0.0,False,partial
formation_kappa_eff_scan,scalefree,False,0.8,0.8,random,5,0.033844,0.203995,0.102388,0.033844,0.0,False,failed
formation_kappa_eff_scan,scalefree,False,0.8,0.8,random,12,0.133231,0.661755,0.397224,0.133231,0.0,False,partial
formation_kappa_eff_scan,scalefree,False,0.8,0.8,random,17,0.163877,0.350065,0.254503,0.163877,0.0,False,failed
explicit_failure_panel,meanfield,False,0.01,0.01,random,17,0.163877,0.163689,0.163768,0.163616,0.0,False,failed
explicit_failure_panel,lattice,False,0.02,0.02,random,5,0.033844,0.031006,0.031505,0.030498,0.0,False,failed
explicit_failure_panel,smallworld,False,0.02,0.02,random,12,0.133231,0.145012,0.139154,0.133231,0.0,False,failed
explicit_failure_panel,scalefree,False,0.02,0.02,random,3,0.071065,0.071895,0.071305,0.070913,0.0,False,failed
explicit_failure_panel,symmetricmodules,False,0.02,0.02,random,5,0.033844,0.02818,0.030644,0.028167,0.0,False,failed
