network_type,target_kappa_eff,init_mode,seed,alpha_on_kappa_bare,alpha_off_kappa_bare,alpha_on_kappa_eff,alpha_off_kappa_eff,kappa_eff_ratio_on_over_off,alpha_on_initial_CI,alpha_off_initial_CI,alpha_on_mean_CI,alpha_off_mean_CI,mean_CI_delta_on_minus_off,alpha_on_final_CI,alpha_off_final_CI,alpha_on_success,alpha_off_success,trajectories_match_prediction
meanfield,0.05,random,3,0.00036487,0.05,0.05,0.05,1.0,0.071065,0.071065,0.069779,0.069779,0.0,0.068524,0.068524,False,False,True
meanfield,0.05,random,5,0.00036487,0.05,0.05,0.05,1.0,0.033844,0.033844,0.033534,0.033534,0.0,0.035702,0.035702,False,False,True
meanfield,0.05,random,12,0.00036487,0.05,0.05,0.05,1.0,0.133231,0.133231,0.147207,0.147207,0.0,0.161779,0.161779,False,False,True
meanfield,0.05,random,17,0.00036487,0.05,0.05,0.05,1.0,0.163877,0.163877,0.173769,0.173769,0.0,0.183999,0.183999,False,False,True
meanfield,0.05,near_sync,3,0.00036487,0.05,0.05,0.05,1.0,0.987302,0.987302,0.988249,0.988249,0.0,0.987265,0.987265,True,True,True
meanfield,0.05,near_sync,5,0.00036487,0.05,0.05,0.05,1.0,0.99127,0.99127,0.991913,0.991913,0.0,0.990515,0.990515,True,True,True
meanfield,0.05,near_sync,12,0.00036487,0.05,0.05,0.05,1.0,0.990675,0.990675,0.991565,0.991565,0.0,0.990535,0.990535,True,True,True
meanfield,0.05,near_sync,17,0.00036487,0.05,0.05,0.05,1.0,0.987046,0.987046,0.988706,0.988706,0.0,0.988102,0.988102,True,True,True
meanfield,0.1,random,3,0.00072974,0.1,0.1,0.1,1.0,0.071065,0.071065,0.074704,0.074704,0.0,0.078604,0.078604,False,False,True
meanfield,0.1,random,5,0.00072974,0.1,0.1,0.1,1.0,0.033844,0.033844,0.035975,0.035975,0.0,0.040854,0.040854,False,False,True
meanfield,0.1,random,12,0.00072974,0.1,0.1,0.1,1.0,0.133231,0.133231,0.159525,0.159525,0.0,0.18847,0.18847,False,False,True
meanfield,0.1,random,17,0.00072974,0.1,0.1,0.1,1.0,0.163877,0.163877,0.187165,0.187165,0.0,0.212258,0.212258,False,False,True
meanfield,0.1,near_sync,3,0.00072974,0.1,0.1,0.1,1.0,0.987302,0.987302,0.990802,0.990802,0.0,0.991838,0.991838,True,True,True
meanfield,0.1,near_sync,5,0.00072974,0.1,0.1,0.1,1.0,0.99127,0.99127,0.99365,0.99365,0.0,0.993725,0.993725,True,True,True
meanfield,0.1,near_sync,12,0.00072974,0.1,0.1,0.1,1.0,0.990675,0.990675,0.993386,0.993386,0.0,0.993819,0.993819,True,True,True
meanfield,0.1,near_sync,17,0.00072974,0.1,0.1,0.1,1.0,0.987046,0.987046,0.991152,0.991152,0.0,0.992371,0.992371,True,True,True
meanfield,0.2,random,3,0.00145947,0.2,0.2,0.2,1.0,0.071065,0.071065,0.085953,0.085953,0.0,0.103134,0.103134,False,False,True
meanfield,0.2,random,5,0.00145947,0.2,0.2,0.2,1.0,0.033844,0.033844,0.041613,0.041613,0.0,0.053645,0.053645,False,False,True
meanfield,0.2,random,12,0.00145947,0.2,0.2,0.2,1.0,0.133231,0.133231,0.188077,0.188077,0.0,0.254301,0.254301,False,False,True
meanfield,0.2,random,17,0.00145947,0.2,0.2,0.2,1.0,0.163877,0.163877,0.217515,0.217515,0.0,0.279686,0.279686,False,False,True
meanfield,0.2,near_sync,3,0.00145947,0.2,0.2,0.2,1.0,0.987302,0.987302,0.99397,0.99397,0.0,0.996334,0.996334,True,True,True
meanfield,0.2,near_sync,5,0.00145947,0.2,0.2,0.2,1.0,0.99127,0.99127,0.995803,0.995803,0.0,0.996945,0.996945,True,True,True
meanfield,0.2,near_sync,12,0.00145947,0.2,0.2,0.2,1.0,0.990675,0.990675,0.995635,0.995635,0.0,0.997069,0.997069,True,True,True
meanfield,0.2,near_sync,17,0.00145947,0.2,0.2,0.2,1.0,0.987046,0.987046,0.994169,0.994169,0.0,0.996522,0.996522,True,True,True
meanfield,0.5,random,3,0.00364868,0.5,0.5,0.5,1.0,0.071065,0.071065,0.134491,0.134491,0.0,0.22671,0.22671,False,False,True
meanfield,0.5,random,5,0.00364868,0.5,0.5,0.5,1.0,0.033844,0.033844,0.066799,0.066799,0.0,0.122044,0.122044,False,False,True
meanfield,0.5,random,12,0.00364868,0.5,0.5,0.5,1.0,0.133231,0.133231,0.307298,0.307298,0.0,0.54531,0.54531,False,False,True
meanfield,0.5,random,17,0.00364868,0.5,0.5,0.5,1.0,0.163877,0.163877,0.337532,0.337532,0.0,0.563992,0.563992,False,False,True
meanfield,0.5,near_sync,3,0.00364868,0.5,0.5,0.5,1.0,0.987302,0.987302,0.997421,0.997421,0.0,0.999271,0.999271,True,True,True
meanfield,0.5,near_sync,5,0.00364868,0.5,0.5,0.5,1.0,0.99127,0.99127,0.998176,0.998176,0.0,0.999267,0.999267,True,True,True
meanfield,0.5,near_sync,12,0.00364868,0.5,0.5,0.5,1.0,0.990675,0.990675,0.998102,0.998102,0.0,0.999328,0.999328,True,True,True
meanfield,0.5,near_sync,17,0.00364868,0.5,0.5,0.5,1.0,0.987046,0.987046,0.997457,0.997457,0.0,0.999251,0.999251,True,True,True
lattice,0.05,random,3,0.00036487,0.05,0.05,0.05,1.0,0.071065,0.071065,0.063578,0.063578,0.0,0.056701,0.056701,False,False,True
lattice,0.05,random,5,0.00036487,0.05,0.05,0.05,1.0,0.033844,0.033844,0.03174,0.03174,0.0,0.030847,0.030847,False,False,True
lattice,0.05,random,12,0.00036487,0.05,0.05,0.05,1.0,0.133231,0.133231,0.150451,0.150451,0.0,0.166651,0.166651,False,False,True
lattice,0.05,random,17,0.00036487,0.05,0.05,0.05,1.0,0.163877,0.163877,0.174793,0.174793,0.0,0.186678,0.186678,False,False,True
lattice,0.05,near_sync,3,0.00036487,0.05,0.05,0.05,1.0,0.987302,0.987302,0.988112,0.988112,0.0,0.986491,0.986491,True,True,True
lattice,0.05,near_sync,5,0.00036487,0.05,0.05,0.05,1.0,0.99127,0.99127,0.991945,0.991945,0.0,0.990667,0.990667,True,True,True
lattice,0.05,near_sync,12,0.00036487,0.05,0.05,0.05,1.0,0.990675,0.990675,0.991086,0.991086,0.0,0.989491,0.989491,True,True,True
lattice,0.05,near_sync,17,0.00036487,0.05,0.05,0.05,1.0,0.987046,0.987046,0.989086,0.989086,0.0,0.988591,0.988591,True,True,True
lattice,0.1,random,3,0.00072974,0.1,0.1,0.1,1.0,0.071065,0.071065,0.062291,0.062291,0.0,0.055407,0.055407,False,False,True
lattice,0.1,random,5,0.00072974,0.1,0.1,0.1,1.0,0.033844,0.033844,0.032312,0.032312,0.0,0.030487,0.030487,False,False,True
lattice,0.1,random,12,0.00072974,0.1,0.1,0.1,1.0,0.133231,0.133231,0.162964,0.162964,0.0,0.188957,0.188957,False,False,True
lattice,0.1,random,17,0.00072974,0.1,0.1,0.1,1.0,0.163877,0.163877,0.187533,0.187533,0.0,0.21207,0.21207,False,False,True
lattice,0.1,near_sync,3,0.00072974,0.1,0.1,0.1,1.0,0.987302,0.987302,0.990243,0.990243,0.0,0.989835,0.989835,True,True,True
lattice,0.1,near_sync,5,0.00072974,0.1,0.1,0.1,1.0,0.99127,0.99127,0.993484,0.993484,0.0,0.993436,0.993436,True,True,True
lattice,0.1,near_sync,12,0.00072974,0.1,0.1,0.1,1.0,0.990675,0.990675,0.9924,0.9924,0.0,0.991762,0.991762,True,True,True
lattice,0.1,near_sync,17,0.00072974,0.1,0.1,0.1,1.0,0.987046,0.987046,0.991397,0.991397,0.0,0.992223,0.992223,True,True,True
lattice,0.2,random,3,0.00145947,0.2,0.2,0.2,1.0,0.071065,0.071065,0.060536,0.060536,0.0,0.053148,0.053148,False,False,True
lattice,0.2,random,5,0.00145947,0.2,0.2,0.2,1.0,0.033844,0.033844,0.032295,0.032295,0.0,0.027567,0.027567,False,False,True
lattice,0.2,random,12,0.00145947,0.2,0.2,0.2,1.0,0.133231,0.133231,0.183379,0.183379,0.0,0.221892,0.221892,False,False,True
lattice,0.2,random,17,0.00145947,0.2,0.2,0.2,1.0,0.163877,0.163877,0.209981,0.209981,0.0,0.252218,0.252218,False,False,True
lattice,0.2,near_sync,3,0.00145947,0.2,0.2,0.2,1.0,0.987302,0.987302,0.992631,0.992631,0.0,0.992844,0.992844,True,True,True
lattice,0.2,near_sync,5,0.00145947,0.2,0.2,0.2,1.0,0.99127,0.99127,0.995194,0.995194,0.0,0.995912,0.995912,True,True,True
lattice,0.2,near_sync,12,0.00145947,0.2,0.2,0.2,1.0,0.990675,0.990675,0.993917,0.993917,0.0,0.993958,0.993958,True,True,True
lattice,0.2,near_sync,17,0.00145947,0.2,0.2,0.2,1.0,0.987046,0.987046,0.993882,0.993882,0.0,0.995255,0.995255,True,True,True
lattice,0.5,random,3,0.00364868,0.5,0.5,0.5,1.0,0.071065,0.071065,0.049281,0.049281,0.0,0.026655,0.026655,False,False,True
lattice,0.5,random,5,0.00364868,0.5,0.5,0.5,1.0,0.033844,0.033844,0.036552,0.036552,0.0,0.055217,0.055217,False,False,True
lattice,0.5,random,12,0.00364868,0.5,0.5,0.5,1.0,0.133231,0.133231,0.223386,0.223386,0.0,0.269367,0.269367,False,False,True
lattice,0.5,random,17,0.00364868,0.5,0.5,0.5,1.0,0.163877,0.163877,0.258775,0.258775,0.0,0.333374,0.333374,False,False,True
lattice,0.5,near_sync,3,0.00364868,0.5,0.5,0.5,1.0,0.987302,0.987302,0.995344,0.995344,0.0,0.995678,0.995678,True,True,True
lattice,0.5,near_sync,5,0.00364868,0.5,0.5,0.5,1.0,0.99127,0.99127,0.997014,0.997014,0.0,0.997855,0.997855,True,True,True
lattice,0.5,near_sync,12,0.00364868,0.5,0.5,0.5,1.0,0.990675,0.990675,0.995777,0.995777,0.0,0.996253,0.996253,True,True,True
lattice,0.5,near_sync,17,0.00364868,0.5,0.5,0.5,1.0,0.987046,0.987046,0.996446,0.996446,0.0,0.997587,0.997587,True,True,True
smallworld,0.05,random,3,0.00036487,0.05,0.05,0.05,1.0,0.071065,0.071065,0.068882,0.068882,0.0,0.066587,0.066587,False,False,True
smallworld,0.05,random,5,0.00036487,0.05,0.05,0.05,1.0,0.033844,0.033844,0.035192,0.035192,0.0,0.037825,0.037825,False,False,True
smallworld,0.05,random,12,0.00036487,0.05,0.05,0.05,1.0,0.133231,0.133231,0.144292,0.144292,0.0,0.155523,0.155523,False,False,True
smallworld,0.05,random,17,0.00036487,0.05,0.05,0.05,1.0,0.163877,0.163877,0.17137,0.17137,0.0,0.179193,0.179193,False,False,True
smallworld,0.05,near_sync,3,0.00036487,0.05,0.05,0.05,1.0,0.987302,0.987302,0.988198,0.988198,0.0,0.98685,0.98685,True,True,True
smallworld,0.05,near_sync,5,0.00036487,0.05,0.05,0.05,1.0,0.99127,0.99127,0.991977,0.991977,0.0,0.990751,0.990751,True,True,True
smallworld,0.05,near_sync,12,0.00036487,0.05,0.05,0.05,1.0,0.990675,0.990675,0.991213,0.991213,0.0,0.989798,0.989798,True,True,True
smallworld,0.05,near_sync,17,0.00036487,0.05,0.05,0.05,1.0,0.987046,0.987046,0.98889,0.98889,0.0,0.988431,0.988431,True,True,True
smallworld,0.1,random,3,0.00072974,0.1,0.1,0.1,1.0,0.071065,0.071065,0.072515,0.072515,0.0,0.07345,0.07345,False,False,True
smallworld,0.1,random,5,0.00072974,0.1,0.1,0.1,1.0,0.033844,0.033844,0.039212,0.039212,0.0,0.044828,0.044828,False,False,True
smallworld,0.1,random,12,0.00072974,0.1,0.1,0.1,1.0,0.133231,0.133231,0.153117,0.153117,0.0,0.173859,0.173859,False,False,True
smallworld,0.1,random,17,0.00072974,0.1,0.1,0.1,1.0,0.163877,0.163877,0.181589,0.181589,0.0,0.200147,0.200147,False,False,True
smallworld,0.1,near_sync,3,0.00072974,0.1,0.1,0.1,1.0,0.987302,0.987302,0.990557,0.990557,0.0,0.990806,0.990806,True,True,True
smallworld,0.1,near_sync,5,0.00072974,0.1,0.1,0.1,1.0,0.99127,0.99127,0.993649,0.993649,0.0,0.993831,0.993831,True,True,True
smallworld,0.1,near_sync,12,0.00072974,0.1,0.1,0.1,1.0,0.990675,0.990675,0.992763,0.992763,0.0,0.992619,0.992619,True,True,True
smallworld,0.1,near_sync,17,0.00072974,0.1,0.1,0.1,1.0,0.987046,0.987046,0.991313,0.991313,0.0,0.992521,0.992521,True,True,True
smallworld,0.2,random,3,0.00145947,0.2,0.2,0.2,1.0,0.071065,0.071065,0.079795,0.079795,0.0,0.087118,0.087118,False,False,True
smallworld,0.2,random,5,0.00145947,0.2,0.2,0.2,1.0,0.033844,0.033844,0.046671,0.046671,0.0,0.056188,0.056188,False,False,True
smallworld,0.2,random,12,0.00145947,0.2,0.2,0.2,1.0,0.133231,0.133231,0.171719,0.171719,0.0,0.211266,0.211266,False,False,True
smallworld,0.2,random,17,0.00145947,0.2,0.2,0.2,1.0,0.163877,0.163877,0.202816,0.202816,0.0,0.243855,0.243855,False,False,True
smallworld,0.2,near_sync,3,0.00145947,0.2,0.2,0.2,1.0,0.987302,0.987302,0.993352,0.993352,0.0,0.994566,0.994566,True,True,True
smallworld,0.2,near_sync,5,0.00145947,0.2,0.2,0.2,1.0,0.99127,0.99127,0.995612,0.995612,0.0,0.996741,0.996741,True,True,True
smallworld,0.2,near_sync,12,0.00145947,0.2,0.2,0.2,1.0,0.990675,0.990675,0.994707,0.994707,0.0,0.995583,0.995583,True,True,True
smallworld,0.2,near_sync,17,0.00145947,0.2,0.2,0.2,1.0,0.987046,0.987046,0.994147,0.994147,0.0,0.996236,0.996236,True,True,True
smallworld,0.5,random,3,0.00364868,0.5,0.5,0.5,1.0,0.071065,0.071065,0.112235,0.112235,0.0,0.17746,0.17746,False,False,True
smallworld,0.5,random,5,0.00364868,0.5,0.5,0.5,1.0,0.033844,0.033844,0.054453,0.054453,0.0,0.050329,0.050329,False,False,True
smallworld,0.5,random,12,0.00364868,0.5,0.5,0.5,1.0,0.133231,0.133231,0.223184,0.223184,0.0,0.300477,0.300477,False,False,True
smallworld,0.5,random,17,0.00364868,0.5,0.5,0.5,1.0,0.163877,0.163877,0.266801,0.266801,0.0,0.360782,0.360782,False,False,True
smallworld,0.5,near_sync,3,0.00364868,0.5,0.5,0.5,1.0,0.987302,0.987302,0.996481,0.996481,0.0,0.997647,0.997647,True,True,True
smallworld,0.5,near_sync,5,0.00364868,0.5,0.5,0.5,1.0,0.99127,0.99127,0.99775,0.99775,0.0,0.998935,0.998935,True,True,True
smallworld,0.5,near_sync,12,0.00364868,0.5,0.5,0.5,1.0,0.990675,0.990675,0.997119,0.997119,0.0,0.998351,0.998351,True,True,True
smallworld,0.5,near_sync,17,0.00364868,0.5,0.5,0.5,1.0,0.987046,0.987046,0.997173,0.997173,0.0,0.998815,0.998815,True,True,True
scalefree,0.05,random,3,0.00036487,0.05,0.05,0.05,1.0,0.071065,0.071065,0.080727,0.080727,0.0,0.090878,0.090878,False,False,True
scalefree,0.05,random,5,0.00036487,0.05,0.05,0.05,1.0,0.033844,0.033844,0.032071,0.032071,0.0,0.030966,0.030966,False,False,True
scalefree,0.05,random,12,0.00036487,0.05,0.05,0.05,1.0,0.133231,0.133231,0.151734,0.151734,0.0,0.172684,0.172684,False,False,True
scalefree,0.05,random,17,0.00036487,0.05,0.05,0.05,1.0,0.163877,0.163877,0.169317,0.169317,0.0,0.174595,0.174595,False,False,True
scalefree,0.05,near_sync,3,0.00036487,0.05,0.05,0.05,1.0,0.987302,0.987302,0.988333,0.988333,0.0,0.987349,0.987349,True,True,True
scalefree,0.05,near_sync,5,0.00036487,0.05,0.05,0.05,1.0,0.99127,0.99127,0.991907,0.991907,0.0,0.990576,0.990576,True,True,True
scalefree,0.05,near_sync,12,0.00036487,0.05,0.05,0.05,1.0,0.990675,0.990675,0.991236,0.991236,0.0,0.989573,0.989573,True,True,True
scalefree,0.05,near_sync,17,0.00036487,0.05,0.05,0.05,1.0,0.987046,0.987046,0.988583,0.988583,0.0,0.98778,0.98778,True,True,True
scalefree,0.1,random,3,0.00072974,0.1,0.1,0.1,1.0,0.071065,0.071065,0.096519,0.096519,0.0,0.122413,0.122413,False,False,True
scalefree,0.1,random,5,0.00072974,0.1,0.1,0.1,1.0,0.033844,0.033844,0.034272,0.034272,0.0,0.034802,0.034802,False,False,True
scalefree,0.1,random,12,0.00072974,0.1,0.1,0.1,1.0,0.133231,0.133231,0.168692,0.168692,0.0,0.209521,0.209521,False,False,True
scalefree,0.1,random,17,0.00072974,0.1,0.1,0.1,1.0,0.163877,0.163877,0.177236,0.177236,0.0,0.189977,0.189977,False,False,True
scalefree,0.1,near_sync,3,0.00072974,0.1,0.1,0.1,1.0,0.987302,0.987302,0.990764,0.990764,0.0,0.991543,0.991543,True,True,True
scalefree,0.1,near_sync,5,0.00072974,0.1,0.1,0.1,1.0,0.99127,0.99127,0.99353,0.99353,0.0,0.993544,0.993544,True,True,True
scalefree,0.1,near_sync,12,0.00072974,0.1,0.1,0.1,1.0,0.990675,0.990675,0.992738,0.992738,0.0,0.9921,0.9921,True,True,True
scalefree,0.1,near_sync,17,0.00072974,0.1,0.1,0.1,1.0,0.987046,0.987046,0.990826,0.990826,0.0,0.991612,0.991612,True,True,True
scalefree,0.2,random,3,0.00145947,0.2,0.2,0.2,1.0,0.071065,0.071065,0.12766,0.12766,0.0,0.183435,0.183435,False,False,True
scalefree,0.2,random,5,0.00145947,0.2,0.2,0.2,1.0,0.033844,0.033844,0.041075,0.041075,0.0,0.04839,0.04839,False,False,True
scalefree,0.2,random,12,0.00145947,0.2,0.2,0.2,1.0,0.133231,0.133231,0.203075,0.203075,0.0,0.279021,0.279021,False,False,True
scalefree,0.2,random,17,0.00145947,0.2,0.2,0.2,1.0,0.163877,0.163877,0.192241,0.192241,0.0,0.215426,0.215426,False,False,True
scalefree,0.2,near_sync,3,0.00145947,0.2,0.2,0.2,1.0,0.987302,0.987302,0.993629,0.993629,0.0,0.995488,0.995488,True,True,True
scalefree,0.2,near_sync,5,0.00145947,0.2,0.2,0.2,1.0,0.99127,0.99127,0.995465,0.995465,0.0,0.996427,0.996427,True,True,True
scalefree,0.2,near_sync,12,0.00145947,0.2,0.2,0.2,1.0,0.990675,0.990675,0.994577,0.994577,0.0,0.994729,0.994729,True,True,True
scalefree,0.2,near_sync,17,0.00145947,0.2,0.2,0.2,1.0,0.987046,0.987046,0.993538,0.993538,0.0,0.995391,0.995391,True,True,True
scalefree,0.5,random,3,0.00364868,0.5,0.5,0.5,1.0,0.071065,0.071065,0.214288,0.214288,0.0,0.345041,0.345041,False,False,True
scalefree,0.5,random,5,0.00364868,0.5,0.5,0.5,1.0,0.033844,0.033844,0.066651,0.066651,0.0,0.112128,0.112128,False,False,True
scalefree,0.5,random,12,0.00364868,0.5,0.5,0.5,1.0,0.133231,0.133231,0.297661,0.297661,0.0,0.468497,0.468497,False,False,True
scalefree,0.5,random,17,0.00364868,0.5,0.5,0.5,1.0,0.163877,0.163877,0.221883,0.221883,0.0,0.260333,0.260333,False,False,True
scalefree,0.5,near_sync,3,0.00364868,0.5,0.5,0.5,1.0,0.987302,0.987302,0.996838,0.996838,0.0,0.998576,0.998576,True,True,True
scalefree,0.5,near_sync,5,0.00364868,0.5,0.5,0.5,1.0,0.99127,0.99127,0.997709,0.997709,0.0,0.998828,0.998828,True,True,True
scalefree,0.5,near_sync,12,0.00364868,0.5,0.5,0.5,1.0,0.990675,0.990675,0.996922,0.996922,0.0,0.997605,0.997605,True,True,True
scalefree,0.5,near_sync,17,0.00364868,0.5,0.5,0.5,1.0,0.987046,0.987046,0.99674,0.99674,0.0,0.998621,0.998621,True,True,True
