alpha_on,init_mode,c_inter,p_in,kappa_bare_used,kappa_eff,critical_kappa_bare,initial_CI,mean_CI,final_CI,min_module_CI,regime
True,near_sync,0.02,0.05,0.005,0.68518,0.005,0.9913,0.998,0.999,0.9982,global_lock
True,near_sync,0.02,0.1,0.005,0.68518,0.005,0.9913,0.9982,0.9994,0.9984,global_lock
True,near_sync,0.02,0.2,0.005,0.68518,0.005,0.9913,0.9982,0.9993,0.9987,global_lock
True,near_sync,0.05,0.05,0.005,0.68518,0.005,0.9913,0.998,0.999,0.9982,global_lock
True,near_sync,0.05,0.1,0.005,0.68518,0.005,0.9913,0.9982,0.9994,0.9985,global_lock
True,near_sync,0.05,0.2,0.005,0.68518,0.005,0.9913,0.9982,0.9993,0.9987,global_lock
True,near_sync,0.1,0.05,0.005,0.68518,0.005,0.9913,0.998,0.999,0.9982,global_lock
True,near_sync,0.1,0.1,0.005,0.68518,0.005,0.9913,0.9982,0.9994,0.9985,global_lock
True,near_sync,0.1,0.2,0.005,0.68518,0.005,0.9913,0.9982,0.9993,0.9987,global_lock
True,near_sync,0.2,0.05,0.005,0.68518,0.005,0.9913,0.9981,0.9991,0.9982,global_lock
True,near_sync,0.2,0.1,0.005,0.68518,0.005,0.9913,0.9983,0.9994,0.9985,global_lock
True,near_sync,0.2,0.2,0.005,0.68518,0.005,0.9913,0.9982,0.9993,0.9987,global_lock
True,near_sync,0.5,0.05,0.005,0.68518,0.005,0.9913,0.9983,0.9994,0.9983,global_lock
True,near_sync,0.5,0.1,0.005,0.68518,0.005,0.9913,0.9984,0.9995,0.9985,global_lock
True,near_sync,0.5,0.2,0.005,0.68518,0.005,0.9913,0.9984,0.9995,0.9987,global_lock
False,near_sync,0.02,0.05,0.1,0.1,0.1,0.9913,0.9936,0.9938,0.9932,global_lock
False,near_sync,0.02,0.1,0.1,0.1,0.1,0.9913,0.9935,0.9936,0.9934,global_lock
False,near_sync,0.02,0.2,0.1,0.1,0.1,0.9913,0.9936,0.9938,0.9935,global_lock
False,near_sync,0.05,0.05,0.1,0.1,0.1,0.9913,0.9936,0.9938,0.9932,global_lock
False,near_sync,0.05,0.1,0.1,0.1,0.1,0.9913,0.9935,0.9936,0.9934,global_lock
False,near_sync,0.05,0.2,0.1,0.1,0.1,0.9913,0.9936,0.9938,0.9935,global_lock
False,near_sync,0.1,0.05,0.1,0.1,0.1,0.9913,0.9936,0.9938,0.9932,global_lock
False,near_sync,0.1,0.1,0.1,0.1,0.1,0.9913,0.9935,0.9936,0.9934,global_lock
False,near_sync,0.1,0.2,0.1,0.1,0.1,0.9913,0.9936,0.9939,0.9935,global_lock
False,near_sync,0.2,0.05,0.1,0.1,0.1,0.9913,0.9936,0.9938,0.9933,global_lock
False,near_sync,0.2,0.1,0.1,0.1,0.1,0.9913,0.9935,0.9936,0.9934,global_lock
False,near_sync,0.2,0.2,0.1,0.1,0.1,0.9913,0.9936,0.9938,0.9935,global_lock
False,near_sync,0.5,0.05,0.1,0.1,0.1,0.9913,0.9937,0.9938,0.9934,global_lock
False,near_sync,0.5,0.1,0.1,0.1,0.1,0.9913,0.9935,0.9936,0.9933,global_lock
False,near_sync,0.5,0.2,0.1,0.1,0.1,0.9913,0.9936,0.9939,0.9935,global_lock
True,random,0.02,0.05,0.02,0.95,,0.0338,0.1095,0.1948,0.1231,desynchronized
True,random,0.02,0.1,0.02,0.95,,0.0338,0.1349,0.3125,0.2415,desynchronized
True,random,0.02,0.2,0.02,0.95,,0.0338,0.2394,0.4698,0.4388,desynchronized
True,random,0.05,0.05,0.02,0.95,,0.0338,0.1103,0.1973,0.1249,desynchronized
True,random,0.05,0.1,0.02,0.95,,0.0338,0.1353,0.3143,0.2436,desynchronized
True,random,0.05,0.2,0.02,0.95,,0.0338,0.2396,0.4705,0.4389,desynchronized
True,random,0.1,0.05,0.02,0.95,,0.0338,0.1071,0.1797,0.1255,desynchronized
True,random,0.1,0.1,0.02,0.95,,0.0338,0.1332,0.3094,0.2361,desynchronized
True,random,0.1,0.2,0.02,0.95,,0.0338,0.2388,0.4674,0.4383,desynchronized
True,random,0.2,0.05,0.02,0.95,,0.0338,0.1103,0.1839,0.1459,desynchronized
True,random,0.2,0.1,0.02,0.95,,0.0338,0.1308,0.2977,0.234,desynchronized
True,random,0.2,0.2,0.02,0.95,,0.0338,0.2381,0.4805,0.4287,desynchronized
True,random,0.5,0.05,0.02,0.95,,0.0338,0.1437,0.278,0.1249,desynchronized
True,random,0.5,0.1,0.02,0.95,,0.0338,0.1364,0.2993,0.2923,desynchronized
True,random,0.5,0.2,0.02,0.95,,0.0338,0.2577,0.5476,0.4356,desynchronized
False,random,0.02,0.05,0.15,0.15,,0.0338,0.0364,0.0375,0.0539,desynchronized
False,random,0.02,0.1,0.15,0.15,,0.0338,0.0379,0.0405,0.0832,desynchronized
False,random,0.02,0.2,0.15,0.15,,0.0338,0.0327,0.0349,0.084,desynchronized
False,random,0.05,0.05,0.15,0.15,,0.0338,0.0363,0.0375,0.0539,desynchronized
False,random,0.05,0.1,0.15,0.15,,0.0338,0.0379,0.0405,0.0833,desynchronized
False,random,0.05,0.2,0.15,0.15,,0.0338,0.0327,0.0349,0.084,desynchronized
False,random,0.1,0.05,0.15,0.15,,0.0338,0.0363,0.0375,0.0538,desynchronized
False,random,0.1,0.1,0.15,0.15,,0.0338,0.0375,0.0397,0.0827,desynchronized
False,random,0.1,0.2,0.15,0.15,,0.0338,0.0327,0.0348,0.0838,desynchronized
False,random,0.2,0.05,0.15,0.15,,0.0338,0.0356,0.0366,0.0556,desynchronized
False,random,0.2,0.1,0.15,0.15,,0.0338,0.0373,0.0394,0.0829,desynchronized
False,random,0.2,0.2,0.15,0.15,,0.0338,0.0331,0.0356,0.0838,desynchronized
False,random,0.5,0.05,0.15,0.15,,0.0338,0.0341,0.0349,0.0553,desynchronized
False,random,0.5,0.1,0.15,0.15,,0.0338,0.0366,0.0385,0.084,desynchronized
False,random,0.5,0.2,0.15,0.15,,0.0338,0.0362,0.0426,0.0864,desynchronized
